name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	database	ngenes_tscore	ngenes_path	genes_path	tissue	exposure	outcome	class_path
HIV Life Cycle	-0.238544165327944	0.0702774401048302	0.000179521912042416	9.2140319787922e-05	-3.39432063791903	1.94835347278606	0.000687990901100949	0.051375215925271	0.0210372328869979	0.257607399426003	Reactome	60	160	RCC1,XPO1,CHMP3,ERCC3,POLR2D,CCNT2,NUP35,NUP210,PDCD6IP,NCBP2,POLR2B,NUP54,CDK7,TAF9,XRCC4,TAF11,RNGTT,VTA1,NUP43,NUPL2,NUP205,VPS37A,CHMP7,TAF2,VPS28,UBAP1,MVB12B,CDK9,NMT2,TAF10,GTF2H1,NUP160,FEN1,BANF1,CD4,NUP107,VPS37B,GTF2H3,RAN,LIG4,GTF2A2,NUP93,VPS4A,NUP88,POLR2A,NMT1,NUP85,TAF4B,MVB12A,ELL,UBA52,POLR2I,SUPT5H,ERCC2,LIG1,NUP62,CHMP4B,NELFCD,RANGAP1,NUP50	DLPC_CMC	Dx	Fluid intelligence score (20016)	1_DLPC_CMC_Dx_20016
nucleoplasm	-0.705178941858366	0.156087330936015	0.000342099836406251	0.000207373192196002	-4.51784867887478	1.64968206730844	6.24711021029011e-06	0.0990108278505488	0.000921495362570758	0.413769232932195	GO	301	1019	DFFB,NMNAT1,NUDC,RPA2,DNAJC8,RCC1,SF3A3,NFYC,MED8,PRKAA2,ITGB3BP,SRSF11,CDC7,RTCA,DDX20,ARNT,PSMD4,PSMB4,ADAR,IFI16,RXRG,UBE2T,H3F3A,PARP1,TAF1B,GRHL1,NCOA1,CENPO,GTF3C2,PPP1CB,LRPPRC,EPAS1,FANCL,XPO1,POLR1A,POLR1B,ERCC3,POLR2D,CCNT2,MCM6,ORC4,NEUROD1,SF3B1,WDR12,CARF,CREB1,VHL,TATDN2,PPARG,NR2C2,KAT2B,THRB,CTNNB1,CDC25A,ATRIP,IP6K2,GNL3,PRKCD,SHQ1,POLQ,EAF2,HLTF,KPNA4,NMD3,SKIL,SENP2,RFC4,NCBP2,PPARGC1A,ANAPC4,PDS5A,POLR2B,NUP54,LIN54,CASP6,LARP7,IRF2,CASP3,SKP2,CCNO,ERCC8,CENPH,CDK7,TAF9,BDP1,DHFR,XRCC4,POLR3G,CAMK4,CDC23,SQSTM1,MAPK9,HIST1H4B,HIST1H4C,HIST1H4F,HIST1H4H,NOTCH4,PSMB8,PSMB9,TAF11,FANCE,MED20,CENPQ,MCM3,MYO6,RNGTT,SRSF12,HEY2,ESR1,WTAP,RPS6KA2,PSMB1,RPA3,HNRNPA2B1,SBDS,MLXIPL,CPSF4,MCM7,ORC5,POT1,NRF1,CUL1,WRN,MCM4,HEY1,E2F5,EIF3E,RAD21,MED30,DSCC1,SNAPC3,APTX,FANCG,HNRNPK,CENPP,TXN,PSMD5,CDK9,SETX,TTF1,SURF6,NOTCH1,OPTN,MASTL,MAPK8,ERCC6,IPMK,CDK1,DNA2,ANXA11,WAPAL,KIF20B,CASP7,MGMT,BNIP3,PSMD13,RRM1,TAF10,ZNF143,GTF2H1,FANCF,ALKBH3,PSMC3,FEN1,BANF1,SF3B2,NUMA1,RNF169,PCF11,MED17,MRE11A,ATM,H2AFX,HINFP,CHEK1,RAD52,DDX11,ZCRB1,SENP1,MCRS1,SMUG1,PRIM1,STAT6,YEATS4,UTP20,RBM19,SRSF9,GTF2H3,RAN,POLE,GTF3A,POLR1D,BRCA2,SMAD9,MED4,RB1,STK24,ERCC5,LIG4,CDC16,PARP2,PSMB5,FANCM,WDHD1,SNAPC1,SYNE2,SRSF5,LIN52,SNW1,ATXN3,CPSF2,VRK1,RCOR1,NPAP1,TP53BP1,RNF111,GTF2A2,SNAPC5,PSMA4,AEN,CIB1,MEF2A,NTHL1,RNPS1,ERCC4,RRN3,POLR3E,PALB2,MAPK3,CHD9,RBL2,E2F4,NFATC3,TERF2,SF3B3,DHX38,TAF1C,FANCA,GEMIN4,PSMB6,POLR2A,LIG3,MED24,PTRF,BRCA1,DUSP3,RAD51C,MED13,PSMC5,SRSF2,PTPN2,ESCO1,TAF4B,SMAD7,POLI,NFATC1,TXNL4A,SIRT6,XAB2,ELL,UBA52,MAU2,POLR2I,SUPT5H,SNRPA,XRCC1,ZNF45,GEMIN7,ERCC2,SNRPD2,SYMPK,PLA2G4C,LIG1,SNRNP70,TEAD2,POLD1,PSMF1,CDC25B,MCM8,SNRPB2,POLR3F,INSM1,GZF1,E2F1,RBL1,NELFCD,PRPF6,CHAF1B,ADARB1,MCM3AP,DGCR8,SMARCB1,XBP1,H1F0,ATF4,EP300,POLR3H,NHP2L1,NUP50,MAPK12,MAPK11	DLPC_CMC	Dx	Fluid intelligence score (20016)	1_DLPC_CMC_Dx_20016
tRNA modification in the nucleus and cytosol	-0.153951551460937	0.0386726207544091	0.000151826894828419	5.25731454314164e-05	-3.98089264336669	2.88791727378159	6.86569544378446e-05	0.00387877241603706	0.0050086091584712	0.0709764978467041	Reactome	19	43	TRIT1,TYW3,TYW5,TRMT44,TRMT10A,NSUN2,THG1L,CDKAL1,ADAT2,TYW1,KIAA1456,URM1,NSUN6,ALKBH8,PUS1,OSGEP,TRMT61A,DUS2,ADAT1	DLPC_CMC	Dx	Fluid intelligence score (20016)	2_DLPC_CMC_Dx_20016
positive regulation of T cell mediated cytotoxicity	-0.14152423528043	0.0294081011491625	0.000141652637839715	3.74280002041603e-05	-4.81242343946645	3.78467022194709	1.49111002355825e-06	0.000153993908597998	0.000318826434128092	0.0208770008456346	GO	13	22	MR1,IL12A,HFE,HLA-F,HLA-A,HLA-C,HLA-B,TAP2,TAP1,AZGP1,FADD,P2RX7,IL12RB1	DLPC_CMC	Dx	Fluid intelligence score (20016)	3_DLPC_CMC_Dx_20016
regulation of immune response	-0.118766176848262	0.0384324406480519	0.000133103544434211	4.84924735103081e-05	-3.09025851196578	2.74482893527625	0.0019998235325809	0.0060552243594872	0.0492521984149767	0.114124801095984	GO	21	91	FCGR3A,SELL,CD34,CD8A,ITGA4,CD200,HLA-F,HLA-A,HLA-C,HLA-B,MICA,SH2B2,CD81,KLRG1,SPPL2A,CDH1,ICAM3,PVR,LILRB1,CD40,ITGB2	DLPC_CMC	Dx	Fluid intelligence score (20016)	3_DLPC_CMC_Dx_20016
chromatin binding	-0.260423467639298	0.079080038192212	0.000181961632538755	0.000104904684708651	-3.2931631495462	1.73454248534384	0.000990669707012632	0.08282466845341	0.0302604565051131	0.383680999828378	GO	77	350	APITD1,EYA3,RCC1,DMAP1,TAL1,PRKAA2,MYSM1,RNF2,UBE2T,NCOA1,MEIS1,SP3,NEUROD1,SF3B1,PPARG,CTNNB1,DHX30,SKIL,PPARGC1A,SLC30A9,POLR2B,PRDM8,TIGD4,PRIMPOL,BDP1,ZKSCAN3,BRD2,RNF8,RUNX2,ASF1A,ESR1,EGFR,ZNHIT1,FOXP2,MKRN1,IFT74,APTX,SVEP1,CDK9,TTF1,BRD3,NOTCH1,ERCC6,TFAM,HHEX,HELLS,MCMBP,PRDM11,EED,HINFP,RAN,POLE,TDRD3,TTC5,AJUBA,FANCM,WDHD1,ELMSAN1,MLH3,RCOR1,POLG,MEF2A,ZKSCAN2,KDM8,NFATC3,TERF2,TADA2A,PCGF2,SMARCE1,CHAF1A,ZNF431,SUPT5H,NUP62,POLD1,CHAF1B,CBX7,EP300	DLPC_CMC	Dx	Fluid intelligence score (20016)	4_DLPC_CMC_Dx_20016
transporter activity	-0.25823548587037	0.0759272874869385	0.000135605287630977	9.84919060276118e-05	-3.40108931080666	1.3768165639211	0.000671178957744829	0.168571763327779	0.0246658266971225	0.517773341853518	GO	70	244	ABCA4,AP4B1,SLC5A6,XPO1,MFSD9,ATP5G3,SLC4A7,SLC15A2,RBP1,SLC51A,WFS1,SV2C,SLCO4C1,TAP2,TAP1,CLVS2,STEAP1,STEAP2,SLC25A13,AP4M1,SLC13A4,SLC37A3,ABCF2,TTPA,SLCO5A1,PMP2,CPNE3,ATP6V1C1,LCN15,LCN12,CUBN,SLC22A18,SYT9,TIMM10,AQP11,GRIA4,SLC37A2,SLCO1C1,SLCO1A2,ABCC9,SYT10,SLC4A8,ATP5G2,SLC15A4,GOLGA3,OCA2,SLC12A6,AQP9,AP3B2,RLBP1,SV2B,GRIN2A,ABCC1,DOC2A,CPNE7,VPS9D1,NUP88,SLC46A1,ATP5G1,SYT4,SYT5,CPNE1,SLC13A3,ATP5O,SLC37A1,AP1B1,SEC14L6,SLC25A17,PACSIN2,MLC1	DLPC_CMC	Dx	Fluid intelligence score (20016)	5_DLPC_CMC_Dx_20016
folic acid binding	-0.0929287284863815	0.0177266441493191	8.57896313606061e-05	2.55525558038186e-05	-5.24231928522981	3.35737966954309	1.58570668850222e-07	0.000787115707946303	6.21597021892871e-05	0.0446756019061936	GO	4	11	FTCDNL1,MTHFS,SLC46A1,FTCD	DLPC_CMC	Dx	Fluid intelligence score (20016)	6_DLPC_CMC_Dx_20016
rough endoplasmic reticulum	-0.109454116827121	0.0347005654093878	0.000165042010148096	4.73611819499927e-05	-3.15424591892988	3.48475277332308	0.00160913428116355	0.000492783103893377	0.0432535294776762	0.0385130062021449	GO	15	36	RPN1,EPHA5,SNCA,MTTP,LRAT,ARSB,CDKAL1,ADCYAP1R1,HTR5A,SPPL3,PSEN1,CA4,KCNJ2,FKRP,STAU1	DLPC_CMC	Dx	Fluid intelligence score (20016)	7_DLPC_CMC_Dx_20016
caveola	0.137966818620078	0.0420903732183433	-8.80635699599777e-05	5.53729388917938e-05	3.27787111566762	-1.59037197090199	0.00104593140106946	0.11175385088834	0.0315024795634107	0.434159113106008	GO	23	60	LRP8,SCN5A,ATP1B3,P2RY12,F2R,EFNA5,FLOT1,SMPD2,ADCYAP1R1,CAV2,CAV1,JAK2,BMPR1A,MYOF,KCNA5,LRP6,AKAP6,MAPK3,CDH13,FLOT2,PTRF,PACSIN2,MLC1	DLPC_CMC	Dx	Fluid intelligence score (20016)	8_DLPC_CMC_Dx_20016
