name	exp_beta	exp_se	out_beta	out_se	exp_z	out_z	exp_pvalue	out_pvalue	exp_pvalue_FDR	out_pvalue_FDR	chrom	start_position	end_position	TSS_start	tissue	exposure	outcome
ALMS1P	0.0366714787448877	0.00880251948994278	-4.06919212284905e-05	1.14873225372837e-05	4.16602073835636	-3.54233295847829	3.09962517585041e-05	0.000396768135833187	0.00203911056211302	0.0230663509475904	chr2	73872046	73912703	73872046	DLPC_CMC	Dx	Fluid intelligence score (20016)
C2orf47	-0.0666933502549054	0.00877773285615531	3.93636909232666e-05	1.14845707568738e-05	-7.59801549532659	3.42752826871709	3.00706332888509e-14	0.000609325121192341	2.42331716016527e-11	0.0305471840987492	chr2	200820040	200873263	200820040	DLPC_CMC	Dx	Fluid intelligence score (20016)
PCCB	-0.0444600275808692	0.00894298609450803	3.89909744853365e-05	1.14901361076667e-05	-4.97149689276298	3.39343016653388	6.64379294053927e-07	0.000690474199732009	7.93195057178827e-05	0.0331065214269811	chr3	135969148	136056738	135969148	DLPC_CMC	Dx	Fluid intelligence score (20016)
CMAHP	-0.0422757937871139	0.00897362961828221	2.5865839168672e-05	1.14474815815839e-05	-4.71111418516587	2.25952223502884	2.46366143450734e-06	0.0238528618658014	0.000252114686797917	0.243136155125405	chr6	25081548	25166793	25166792	DLPC_CMC	Dx	Fluid intelligence score (20016)
HMGN4	-0.0415359268078211	0.00899138031848294	3.31914338497094e-05	1.14518138346292e-05	-4.61952729576333	2.89835604464174	3.84615282231955e-06	0.00375198358382202	0.000364649224198443	0.0890609252076783	chr6	26538633	26546482	26538633	DLPC_CMC	Dx	Fluid intelligence score (20016)
ZSCAN23	-0.0712743798465031	0.00896208203831796	2.79843969048523e-05	1.14701131430877e-05	-7.95288187965307	2.43976642215745	1.82222068901377e-15	0.0146983254171384	2.34957135641436e-12	0.191585125873118	chr6	28399707	28411279	28411278	DLPC_CMC	Dx	Fluid intelligence score (20016)
CUL9	0.0385628311820332	0.0090357084252304	-3.6943725156464e-05	1.14752648567833e-05	4.26782598189582	-3.21942243752446	1.97387207053096e-05	0.00128486265917151	0.00138321230855577	0.0493274428744455	chr6	43149913	43192325	43149913	DLPC_CMC	Dx	Fluid intelligence score (20016)
SNAP91	0.0406372889013185	0.00894815789799814	-2.61520969773397e-05	1.14984354852623e-05	4.54141392726315	-2.27440481018998	5.58781988865491e-06	0.0229435703926561	0.000467852919768288	0.240661767461338	chr6	84262599	84419410	84419409	DLPC_CMC	Dx	Fluid intelligence score (20016)
ZNF259P1	-0.0394145525052998	0.00888728770550307	5.10121731475922e-05	1.14861425719242e-05	-4.43493603575972	4.44119275275952	9.20996302845285e-06	8.95484030437867e-06	0.000724105263956531	0.00178069373259329	chr6	109103329	109108256	109108255	DLPC_CMC	Dx	Fluid intelligence score (20016)
WBP1L	-0.0477520737652096	0.00893185864790609	1.90074730745451e-05	1.14654227462085e-05	-5.3462639353797	1.65780830722799	8.9788251925388e-08	0.0973590082646633	1.5644996220621e-05	0.454342916521679	chr10	104503727	104576021	104503727	DLPC_CMC	Dx	Fluid intelligence score (20016)
NT5C2	-0.0411951594735538	0.00894900865816307	2.74200844517418e-05	1.14755084553505e-05	-4.603320998687	2.38944396742239	4.1580658861614e-06	0.0168755670770766	0.000386989247160697	0.2078391205543	chr10	104845940	104953056	104953055	DLPC_CMC	Dx	Fluid intelligence score (20016)
CSPG4P11	0.0490678851285721	0.00900842817275326	-2.45606973126819e-05	1.14136592000043e-05	5.44688642542348	-2.15186881632777	5.12591700547003e-08	0.0314098518507261	9.71964321596037e-06	0.271033438611297	chr15	84855504	84866136	84855504	DLPC_CMC	Dx	Fluid intelligence score (20016)
SPECC1	0.0351247280472344	0.00889530612360204	-1.87767339157258e-05	1.15044677906224e-05	3.94868119873215	-1.63212538445553	7.85829221071788e-05	0.102655930376208	0.00398161180821879	0.461672299060568	chr17	19912657	20222339	19912657	DLPC_CMC	Dx	Fluid intelligence score (20016)
GATAD2A	-0.0465227578600324	0.00887461275891732	2.63730392282134e-05	1.14765468384334e-05	-5.24222961878374	2.29799430085483	1.58647768221808e-07	0.0215639757774994	2.37860967843256e-05	0.234807736243883	chr19	19496635	19619740	19496635	DLPC_CMC	Dx	Fluid intelligence score (20016)
